Gene to number of 16s copies	STAS	SWHAS104
AM850911.2.gene1.p01	0	0
AM850912.2.gene1.p01	0	0
AM850913.2.gene1.p01	0	0
AM850914.2.gene1.p01	0	0
AM850915.2.gene1.p01	0	0
AM850916.2.gene1.p01	0	0
AM850917.2.gene1.p01	0	0
AM850918.2.gene1.p01	0	0
AM850919.2.gene1.p01	0	0
AM850920.1.gene1.p01	0	0
AM850921.2.gene1.p01	0	0
AM850922.2.gene1.p01	0	0
AM931008.1.gene1.p01	0	0
AM932669.1.gene2.p01	0	0
AM941159.1.gene1.p01	0	0
AM941844.1.gene1.p01	0	0
AM941845.1.gene1.p01	0	0
AM941846.1.gene1.p01	0	0
AM982520.1.gene5.p01	0	0
AM982521.1.gene2.p01	0	0
AM982522.2.gene1.p01	0	0
AM991978.1.gene1.p01	0	0
AY004350.gene.p01	0	0
AY005110.1.gene1.p1	0	0
AY007369.1.gene1.p1	0	0
AY007784.1.gene3.p01	0	0
AY008291.1.gene1.p1	0	0
AY027590.1.gene1.p1	0	0
AY027870.1.gene1.p01	0	0
AY028464.1.gene1.p01	0	0
AY029068.1.gene1.p1	0	0
AY033516.1.gene2.p01	0	0
AY033653.3.gene6.p01	0	0
AY034138.1.gene10.p01	0	0
AY034847.1.gene1.p01	0	0
AY036620.1.gene1.p01	0	0
AY037780.1.gene1.p01	0	0
AY039040.1.gene1.p01	0	0
AY040093.1.gene1.p01	0	0
AY055205.1.gene1.p1	0	0
AY070258.1.gene1.p1	0	0
AY072920.1.gene1.p1	0	0
AY077481.1.gene1.p01	0	0
AY077483.1.gene1.p01	0	0
AY077485.2.gene1.p01	0	0
AY077487.2.gene1.p01	0	0
AY077488.2.gene1.p01	0	0
AY079099.1.gene1.p01	0	0
AY080894.1.gene1.p01	0	0
AY082011.1.gene1.p01	0	0
AY082011.1.gene2.p1	0	0
AY082011.1.gene5.p01	0	0
AY082011.1.gene6.p01	0	0
AY082011.1.gene8.p01	0	0
AY092401.1.gene1.p1	0	0
AY101578.1.gene1.p01	0	0
AY101764.1.gene1.p01	0	0
AY114142.1.gene1.p01	0	0
AY115475.1.gene2.p01	0	0
AY115475.1.gene4.p01	0	0
AY123251.gene2.p01	0	0
AY130282.1.gene1.p1	0	0
AY130284.1.gene1.p1	0	0
AY130285.1.gene1.p1	0	0
AY136758.1.gene3.p01	0	0
AY138986.1.gene1.p01	0	0
AY139598.1.gene3.p01	0	0
AY139603.1.gene1.p01	0	0.0168801677832096
AY143430.1.gene1.p01	0	0
AY144612.1.gene1.p01	0	0
AY150585.1.gene1.p1	0	0
AY154657.2.orf0.gene.p01	0	0
AY156923.1.gene1.p01	0	0
AY157676.1.gene1.p01	0	0
AY162283.2.gene3.p01	0	0
AY162283.2.gene7.p01	0	0.0485189522074768
AY165025.1.gene1.p01	0	0
AY171244.1.gene1.p01	0	0
AY171578.gene.p01	0	0.0236142772711922
AY178993.1.gene1.p01	0	0
AY210887.1.gene1.p1	0	0
AY216678.1.gene1.p01	0	0
AY223863.1.gene1.p01	0	0
AY227054.1.gene1.p01	0	0
AY227752.1.gene1.p01	0	0
AY232670.1.gene2.p01	0	0
AY232670.1.gene3.p01	0	0
AY234334.1.orf0.gene.p01	0	0
AY236073.2.gene7.p01	0	0
AY237830.1.gene1.p01	0	0
AY238472.1.gene1.p01	0	0
AY238971.1.gene2.p01	0	0
AY243512.1.gene1.p01	0	0
AY248038.1.gene4.p01	0	0
AY259086.1.gene4.p01	0	0
AY259086.1.gene5.p01	0	0
AY259119.1.gene1.p1	0	0
AY263404.1.gene1.p1	0	0
AY264780.2.gene3.p01	0	0.0112963972696797
AY267213.1.gene1.p01	0	0
AY271267.1.gene1.p01	0	0
AY277255.2.gene1.p01	0	0
AY288523.1.gene1.p01	0	0
AY288915.1.gene1.p01	0	0
AY289548.1.gene1.p01	0	0
AY289608.1.gene2.p01	0	0
AY289608.1.gene3.p01	0	0
AY292654.1.gene1.p1	0	0
AY306130.1.gene1.p01	0	0
AY307100.1.gene1.p1	0	0
AY327539.1.gene1.p01	0	0
AY327540.1.gene1.p01	0	0
AY339625.2.gene8.p01	0	0
AY339985.2.gene4.p01	0	0
AY343493.1.gene1.p01	0	0
AY355285.1.gene3.p01	0	0
AY368236.1.gene1.p1	0	0
AY368237.1.gene1.p1	0	0
AY423074.1.gene1.p01	0	0
AY436361.1.gene1.p01	0	0
AY445080.1.gene1.p01	0	0
AY463797.7.gene13.p01	0	0
AY463797.7.gene28.p01	0	0
AY463797.7.gene32.p01	0	0
AY485126.gene.p01	0	0
AY487229.1.gene4.p01	0	0
AY491682.1.gene1.p1	0	0
AY494717.1.gene1.p01	0	0
AY494718.1.gene1.p01	0	0
AY494945.1.gene2.p01	0	0
AY500137.1.gene1.p01	0	0
AY504627.1.gene1.p1	0	0
AY513266.1.gene1.p01	0	0
AY515297.1.gene1.p1	0	0
AY518560.gene.p01	0	0
AY524276.3.gene1.p3	0	0
AY524987.1.gene1.p01	0	0
AY524988.1.gene1.p01	0	0
AY524989.1.gene1.p01	0	0
AY528425.1.gene1.p1	0	0
AY528718.1.gene1.p01	0	0
AY536519.1.gene1.p01	0	0
AY553332.1.gene1.p01	0	0
AY553333.1.gene1.p01	0	0
AY570763.1.gene3.p01	0	0
AY574271.1.gene1.p01	0	0
AY584237.1.gene1.p1	0	0
AY587956.gene.p01	0	0
AY589493.1.gene1.p01	0	0
AY589494.1.gene1.p01	0	0
AY589495.1.gene1.p01	0	0
AY590467.1.gene1.p1	0	0
AY602213.1.gene1.p01	0	0
AY605049.2.gene1.p01	0	0
AY619003.1.gene1.p01	0	0
AY628175.1.gene1.p01	0	0
AY628176.1.gene1.p01	0	0
AY628199.1.gene1.p01	0	0
AY633109.1.gene1.p01	0	0
AY635904.1.gene1.p01	0	0
AY649755.1.gene1.p01	0	0
AY661885.1.gene1.p01	0	0
AY712687.1.gene1.p01	0	0
AY740681.1.gene9.p01	0	0
AY743416.1.gene1.p01	0	0
AY743434.1.gene1.p01	0	0
AY743435.1.gene1.p01	0	0
AY743590.gene.p01	0	0
AY750907.1.gene1.p01	0	0
AY750908.1.gene1.p01	0	0
AY750909.1.gene1.p01	0	0
AY750910.1.gene1.p01	0	0
AY750911.1.gene1.p01	0	0
AY750912.1.gene1.p01	0	0
AY750913.1.gene1.p01	0	0
AY750914.gene.p01	0	0
AY758206.1.gene5.p01	0	0
AY762325.1.gene1.p01	0	0
AY769933.1.gene1.p01	0	0
AY780674.2.gene1.p01	0	0
AY790341.1.gene1.p01	0	0
AY795964.gene.p01	0	0
AY822595.1.gene1.p01	0	0
AY825285.gene.p01	0	0
AY825330.1.gene1.p01	0	0
AY826417.1.gene1.p01	0	0
AY847143.1.gene1.p01	0	0
AY847144.1.gene1.p01	0	0
AY847145.1.gene1.p01	0	0
AY847146.1.gene1.p01	0	0
AY847147.1.gene1.p01	0	0
AY847148.1.gene1.p01	0	0
AY853593.1.gene1.p1	0	0
AY859529.1.gene1.p01	0	0
AY862132.1.gene1.p01	0	0
AY874537.1.gene1.p01	0	0
AY939911.1.gene1.p01	0	0
AY949202.1.gene1.p01	0	0
AY949203.1.gene1.p01	0	0
AY954516.1.gene1.p1	0	0
AY956335.1.gene1.p1	0	0
AY960293.2.gene1.p2	0	0
B1LEM1	0	0
B1LL36	0	0
B1LLK9	0	0
B1YIX1	0	0
B2VGJ3	0	0
B6HZ32	0	0
B6I9E2	0	0
B6IBA3	0	0
B7LM76	0	0
B7LQA4	0	0
B7LQD5	0	0
B7LT82	0	0
B7LVU5	0	0
B7N5M0	0	0
B7N7S6	0	0
B7NAS9	0	0
B7NF27	0	0
B7NJS0	0	0
B7NNT4	0	0
B7NR12	0	0
B7VAE6	0	0
BAA02119	0	0
BAA02494	0	0
BAA06245	0	0
BAA06252	0	0
BAA07084	0	0
BAA07390	0	0
BAA07922	0	0
BAA08271	0	0
BAA12916	0	0
BAA31456	0	0
BAA32077	0	0
BAA34299	0	0
BAA34300	0	0
BAA36484	0	0
BAA78801	0	0
BAB37346	0	0
BAB59035	0	0
BAB71966	0	0
BAB71968	0	0
BAB82500	0	0
BAB86942	0	0
BAB93733	0	0
BAC00986	0	0
BAC06841	0	0
BAC12781	0	0
BAC24097	0	0
BAC53608	0	0
BAC53825	0	0
BAC57479	0	0
BAC58936	0	0
BAC59742	0	0
BAC67134	0	0
BAC67136	0	0
BAC67138	0	0
BAC67142	0	0
BAC67143	0	0
BAC67144	0	0
BAC67147	0	0
BAC67151	0	0.0113541793529006
BAC67152	0	0
BAC77251	0	0
BAC77725	0	0
BAC79064	0	0
BAC79067	0	0
BAC98411	0	0
BAD00902	0	0
BAD06399	0	0
BAD08689	0	0
BAD46890	0	0
BAD60925	0	0
BAD67448	0	0
BAD77819	0	0
BAD77822	0	0
BAD86537	0	0
BAD86538	0	0
BAD86539	0	0
BAD95814	0	0
BAE54319	0	0
BAE66664	0	0
BAE71359	0	0
BAE73191	0	0
BAE96115	0	0
BAE96116	0	0
BAE96117	0	0
BAE98117	0	0
BAF36555	0	0
BAF47404	0	0
BAF95849	0	0
BAG06200	0	0
BAG17078	0	0
BAG24378	0	0
BAG76424	0	0
BAG80136	0	0
BAH17153	0	0
BAH18719	0	0
BAH61691	0	0
BAH62608	0	0
BAH62770	0	0
BAH62779	0	0
BAH63712	0	0
BAH64410	0	0
BAH65216	0	0
BAH65231	0	0
BAH65866	0	0
BX664015.1.gene104.p01	0	0
BX664015.1.gene215.p01	0	0
CAA06639	0	0
CAA08847	0	0
CAA10366	0	0
CAA37477	0	0
CAA37699	0	0
CAA42550	0	0
CAA43220	0	0
CAA52618	0	0
CAA54738	0	0
CAA63057	0	0
CAA63519	0	0
CAA66307	0	0
CAA67773	0	0
CAA67774	0	0
CAA70206	0	0
CAA70207	0	0
CAA70208	0	0
CAA70425	0	0
CAA71441	0	0
CAA73547	0	0
CAA74376	0	0
CAA75611	0	0
CAA76069	0	0
CAA88266	0	0
CAA90431	0	0
CAA90687	0	0
CAA90688	0	0
CAB12101	0	0
CAB41446	0	0
CAB50867	0	0
CAB54703	0	0
CAB61224	0	0
CAB61225	0	0
CAB61227	0	0
CAB61228	0	0
CAB61229	0.0172788533019322	0
CAB61230	0	0
CAB61231	0	0
CAB61645	0	0
CAB63488	0	0
CAB63489	0	0
CAB76925	0	0.0116216861962935
CAB96926	0	0
CAC08444	0	0
CAC14594	0	0
CAC14595	0	0
CAC14596	0	0
CAC17149	0	0
CAC35724	0	0
CAC35725	0	0
CAC35726	0	0
CAC41008	0	0
CAC41009	0	0
CAC41338	0	0
CAC42503	0	0
CAC44638	0	0
CAC47932	0	0
CAC47934	0	0.0166897899510681
CAC81326	0	0
CAC81916	0	0
CAC85157	0	0
CAC85357	0	0
CAC86407	0	0
CAD03195	0	0
CAD04960	0	0
CAD11594	0	0
CAD11599	0	0
CAD13485	0	0
CAD20591	0	0
CAD36021	0	0
CAD55935	0	0
CAD57182	0	0
CAD57199	0	0
CAD60196	0	0
CAD69003	0	0
CAD70592	0	0
CAD89787	0	0
CAD90667	0	0
CAE46076	0	0
CAE46077	0	0
CAE46078	0	0
CAE46566	0	0
CAE51025	0	0
CAE53424	0	0
CAE53425	0	0
CAE55180	0	0
CAF05908	0	0
CAF18336	0	0
CAF21854	0	0
CAF29483	0	0
CAF31623	0	0
CAF31839	0	0
CAF33325	0	0
CAG27784	0	0
CAG27847	0	0
CAG30567	0	0.00694754949449785
CAG30572	0	0
CAG34024	0	0
CAG34107	0	0
CAG34229	0	0
CAG34249	0	0
CAG34250	0	0
CAG34251	0	0
CAG34256	0	0
CAG34257	0	0
CAG34264	0	0
CAG34265	0	0
CAG34266	0	0
CAG34724	0	0
CAG74079	0	0
CAH58703	0	0
CAH94334	0	0
CAI29521	0	0
CAI29522	0	0
CAI43343	0	0
CAI46944	0	0
CAI46978	0	0.0454554688769706
CAI57693	0	0
CAI57695	0	0
CAI84881	0	0
CAI92122	0	0
CAI94891	0	0
CAI99385	0	0
CAJ00294	0	0
CAJ00297	0	0
CAJ00299	0	0
CAJ00301	0	0
CAJ15581	0.00597517232447055	0
CAJ21496	0	0
CAJ29561	0	0
CAJ31068	0	0
CAJ31231	0	0
CAJ32498	0	0
CAJ43422	0	0
CAJ43426	0	0
CAJ43792	0	0
CAJ45367	0	0
CAJ51087	0	0
CAJ65586	0	0
CAJ65911	0	0
CAJ75666	0	0
CAJ75672	0	0
CAJ77026	0	0
CAJ77843	0	0
CAJ77844	0	0
CAJ77891	0	0
CAJ85716	0	0
CAJ88549	0	0
CAJ93947	0	0
CAK55562	0	0
CAL11685	0	0
CAL12097	0	0
CAL13137	0	0
CAL18627	0	0
CAL22891	0	0
CAL26907	0	0
CAL37101	0	0
CAL44990	0	0
CAL44999	0	0
CAL48457	0	0
CAL64024	0	0
CAL69903	0	0
CAM12479	0	0
CAM88357	0	0
CAM88389	0	0
CAM88409	0	0
CAM88415	0	0
CAO72212	0	0
CAO78565	0	0
CAO82104	0	0.0206487633813215
CAO82964	0	0
CAO82974	0	0
CAO91607	0	0
CAO91608	0	0
CAO91609	0	0
CAO91612	0	0
CAO91614	0	0
CAO91615	0	0
CAO91616	0	0
CAO91617	0	0
CAO91620	0	0
CAO91621	0	0
CAO91622	0	0
CAO91624	0	0
CAO91626	0	0
CAO91629	0	0
CAO91630	0	0
CAP45560	0	0
CAP45902	0	0
CAP58290	0	0
CAP58291	0	0
CAP58293	0	0
CAP69686	0	0
CAP72501	0	0
CAP74085	0	0
CAQ51492	0	0
CAQ52800	0	0
CAQ76847	0	0
CAQ86961	0	0
CAR51973	0	0
CAR56415	0	0
CAR56416	0	0
CAR58198	0	0
CAR59960	0	0
CAR60299	0	0
CAR60300	0	0
CAR61098	0	0
CAR61679	0	0
CAR63499	0	0
CAR63502	0	0
CAR69107	0	0
CAS07946	0	0
CAS09877	0	0
CAS10898	0	0
CAT00058	0	0
CAU08343	0	0
CAV31157	0	0
CAW25151	0	0
CAW28031	0	0
CAW28032	0	0
CAW29378	0	0
CAW29737	0	0
CAX16467	0	0
CAX85496	0	0
CAY49038	0	0
CAY49157	0	0
CAY51926	0	0
CAZ44321	0	0
CP000034.1.gene1340.p01	0	0
CP000034.1.gene2187.p01	0	0
CP000034.1.gene2198.p01	0	0
CP000034.1.gene2328.p01	0	0
CP000034.1.gene2563.p01	0	0
CP000034.1.gene2880.p01	0	0
CP000034.1.gene3205.p01	0	0
CP000034.1.gene3672.p01	0	0
CP000034.1.gene3834.p01	0	0
CP000034.1.gene4157.p01	0	0
CP000034.1.gene4477.p01	0	0
CP000034.1.gene4478.p01	0	0
CP000034.1.gene456.p01	0	0
CP000034.1.gene457.p01	0	0
CP000308.1.gene1582.p01	0	0
CP000647.1.gene1607.p01	0	0
CP000647.1.gene2414.p01	0	0
CP000647.1.gene2517.p01	0	0
CP000647.1.gene2530.p01	0	0
CP000647.1.gene3014.p01	0	0
CP000647.1.gene3015.p01	0	0
CP000647.1.gene3449.p01	0	0
CP000647.1.gene3517.p01	0	0
CP000647.1.gene3518.p01	0	0.00822126690182245
CP000647.1.gene3709.p01	0	0
CP000647.1.gene3710.p01	0	0
CP000647.1.gene4115.p01	0	0
CP000647.1.gene4256.p01	0	0
CP000647.1.gene4257.p01	0	0
CP000647.1.gene443.p01	0	0
CP000647.1.gene444.p01	0	0
CP000647.1.gene911.p01	0	0
CP000647.1.gene956.p01	0	0
CP000675.2.gene1363.p01	0	0
CP000675.2.gene1502.p01	0	0
CP000675.2.gene1534.p01	0	0
CP000675.2.gene1535.p01	0.0176611288174616	0
CP000675.2.gene1723.p01	0	0
CP000675.2.gene2298.p01	0.00379412082960678	0
CP000675.2.gene2723.p01	0	0
CP000675.2.gene498.p01	0	0
CP000675.2.gene499.p01	0	0
CP000675.2.gene810.p01	0	0
CP000768.1.gene1024.p01	0	0
CP000768.1.gene1536.p01	0	0
CP000768.1.gene1537.p01	0	0
CP001138.1.gene1162.p01	0	0
CP001138.1.gene1383.p01	0	0
CP001138.1.gene1489.p01	0	0
CP001138.1.gene2007.p01	0	0
CP001138.1.gene2020.p01	0	0
CP001138.1.gene2234.p01	0	0
CP001138.1.gene2235.p01	0	0
CP001138.1.gene2236.p01	0	0
CP001138.1.gene2238.p01	0	0
CP001138.1.gene2905.p01	0	0
CP001138.1.gene2906.p01	0	0
CP001138.1.gene3341.p01	0	0
CP001138.1.gene376.p01	0	0
CP001138.1.gene3995.p01	0	0
CP001138.1.gene4042.p01	0	0
CP001138.1.gene4273.p01	0	0
CP001138.1.gene4809.p01	0	0
CP001138.1.gene894.p01	0	0
CP001138.1.gene934.p01	0	0
CP001485.1.gene2287.p01	0	0
CP001485.1.gene2821.p01	0	0
CP001485.1.gene720.p01	0	0
CP001485.1.gene721.p01	0.0175062066348523	0
CP001485.1.gene972.p01	0	0
CP001581.1.gene3143.p01	0	0
CP001581.1.gene725.p01	0	0
CP001918.1.gene1257.p01	0	0
CP001918.1.gene1258.p01	0	0
CP001918.1.gene1399.p01	0	0
CP001918.1.gene1661.p01	0	0
CP001918.1.gene2596.p01	0	0
CP001918.1.gene2608.p01	0	0
CP001918.1.gene2749.p01	0	0
CP001918.1.gene2796.p01	0	0
CP001918.1.gene2898.p01	0	0
CP001918.1.gene2931.p01	0	0
CP001918.1.gene3439.p01	0	0
CP001918.1.gene3440.p01	0	0
CP001918.1.gene3441.p01	0	0
CP001918.1.gene3442.p01	0	0
CP001918.1.gene3443.p01	0	0
CP001918.1.gene4071.p01	0	0
CP001918.1.gene4501.p01	0	0
CP001918.1.gene4502.p01	0	0
CP001918.1.gene5135.p01	0.0190067386321254	0
CP001918.1.gene721.p01	0	0
CP002695.1.gene992.p01	0	0
CP003583.1.gene1005.p01	0	0
CP003583.1.gene2512.p01	0	0
CP003583.1.gene510.p01	0	0
CP004022.1.gene1136.p01	0	0
CP004022.1.gene1280.p01	0	0
CP004022.1.gene1427.p01	0	0
CP004022.1.gene1549.p01	0	0
CP004022.1.gene1672.p01	0	0
CP004022.1.gene1673.p01	0.00382686012727357	0.00425645649758785
CP004022.1.gene1674.p01	0	0.0172910774176597
CP004022.1.gene1675.p01	0	0
CP004022.1.gene1785.p01	0	0
CP004022.1.gene2485.p01	0.00847434206527883	0
CP004022.1.gene2534.p01	0	0
CP004022.1.gene2827.p01	0	0
CP004022.1.gene294.p01	0	0
CP004022.1.gene3214.p01	0	0
CP004022.1.gene3215.p01	0	0
CP004022.1.gene3225.p01	0	0
CP004022.1.gene546.p01	0	0
CP004022.1.gene547.p01	0	0
CP004022.1.gene757.p01	0	0
CP004022.1.gene834.p01	0	0
CP004067.1.gene46.p01	0	0
D13210.1.gene1.p01	0	0
D13304.2.gene1.p01	0	0
D16171.1.gene1.p01	0	0
D37826.1.gene1.p01	0	0
D37830.1.gene1.p01	0	0
D89862.1.gene1.p01	0	0
DQ013287.1.gene1.p1	0	0
DQ018711.1.gene1.p01	0	0
DQ018711.1.gene2.p01	0	0
DQ018711.1.gene4.p01	0	0
DQ018711.1.gene5.p01	0	0
DQ018711.1.gene6.p01	0	0
DQ018711.1.gene7.p01	0	0
DQ018711.1.gene8.p01	0	0
DQ023162.1.gene1.p1	0	0
DQ061159.1.gene1.p01	0	0
DQ072853.1.gene1.p01	0	0
DQ075245.1.gene1.p01	0	0
DQ102702.1.gene1.p1	0	0
DQ105528.2.gene1.p01	0	0
DQ105529.2.gene1.p01	0	0
DQ125241.gene.p01	0	0
DQ139328.1.gene1.p1	0	0
DQ143913.1.gene4.p01	0	0
DQ143913.1.gene6.p01	0	0
DQ144639.1.orf1.gene.p01	0	0
DQ149247.1.gene1.p01	0	0
DQ151889.gene.p01	0	0
DQ173429.1.gene1.p01	0	0
DQ174304.1.gene1.p01	0	0
DQ174305.1.gene1.p01	0	0
DQ174306.1.gene1.p01	0	0
DQ174307.1.gene1.p01	0	0
DQ174308.1.gene1.p01	0	0
DQ193536.1.gene1.p01	0	0
DQ195536.2.orf0.gene.p01	0	0
DQ211987.1.gene1.p01	0	0
DQ212986.1.gene11.p01	0	0
DQ212986.1.gene3.p01	0	0
DQ212986.1.gene4.p01	0	0
DQ212986.1.gene5.p01	0	0
DQ212986.1.gene6.p01	0	0
DQ212986.1.gene7.p01	0	0
DQ212986.1.gene8.p01	0	0
DQ212986.1.gene9.p01	0	0
DQ223685.1.gene1.p01	0	0
DQ256079.1.gene1.p01	0	0
DQ256091.1.gene1.p1	0	0
DQ268764.2.gene6.p01	0	0
DQ279850.1.gene1.p1	0	0
DQ286729.1.gene1.p1	0	0
DQ294299.gene.p01	0	0
DQ303918.1.gene1.p01	0	0
DQ309276.1.gene1.p01	0	0
DQ309277.1.gene1.p01	0	0
DQ322460.1.gene1.p1	0	0
DQ328802.1.gene1.p01	0	0
DQ335566.1.gene1.p01	0	0
DQ336355.1.gene5.p01	0	0
DQ348075.1.gene1.p01	0	0
DQ351241.gene.p01	0	0
DQ361087.2.gene1.p01	0	0
DQ365886.1.gene1.p01	0	0
DQ369751.1.gene1.p01	0	0
DQ388882.1.gene1.p01	0	0
DQ392963.1.gene1.p01	0	0
DQ393783.1.gene4.p01	0	0.0168801677832096
DQ408762.1.gene1.p1	0	0
DQ435306.1.orf0.gene.p01	0	0
DQ445683.1.gene1.p01	0	0
DQ449578.gene.p01	0	0
DQ463751.1.gene1.p01	0	0
DQ464881.1.gene2.p01	0.0147284690507245	0.0163818602471739
DQ464881.1.gene4.p01	0	0
DQ489307.1.gene2.p01	0	0
DQ491200.1.gene1.p01	0	0
DQ519086.1.gene2.p01	0	0
DQ519087.1.gene1.p01	0	0
DQ519088.1.gene1.p01	0	0
DQ519089.1.gene1.p01	0	0
DQ519090.1.gene1.p01	0	0
DQ522237.1.gene3.p01	0	0
DQ522237.1.gene5.p01	0	0
DQ677333.1.gene1.p01	0	0.0171408653551511
DQ679961.1.gene1.p01	0	0
DQ810789.1.gene1.p01	0	0
DQ823382.1.gene1.p01	0	0
DQ831141.gene.p01	0	0
DQ834728.1.gene1.p1	0	0
DQ834729.1.gene1.p1	0	0
DQ836922.1.gene1.p01	0	0
DQ888718.1.gene1.p01	0	0
DQ909059.1.gene1.p1	0	0
EAL17042	0	0
EAS48788	0	0
EDJ91555	0	0
EDK10390	0	0
EDK70037	0	0
EDK74221	0	0
EDK78328	0	0
EEB58431	0	0
EEQ96502	0	0
EF102240.1.gene13.p01	0	0
EF118171.1.gene4.p01	0	0
EF125013.1.gene1.p01	0	0
EF136375.1.gene1.p01	0	0
EF136376.1.gene1.p01	0	0
EF136377.1.gene1.p01	0	0
EF192154.1.gene1.p01	0	0
EF210159.1.gene1.p01	0	0
EF219142.1.gene1.p01	0	0
EF373969.1.gene1.p01	0	0
EF373970.1.gene1.p01	0	0
EF373971.1.gene1.p01	0	0
EF373972.1.gene1.p01	0	0
EF373973.1.gene1.p01	0	0
EF374097.1.gene1.p01	0	0
EF394370.1.gene1.p01	0	0
EF394371.1.gene1.p01	0	0
EF415650.1.gene1.p01	0	0
EF417572.2.gene1.p01	0	0
EF418608.1.gene1.p01	0	0
EF420108.1.gene1.p01	0	0
EF426798.1.gene1.p1	0	0
EF468463.1.gene1.p01	0	0
EF534256.2.gene1.p01	0	0
EF534736.1.gene1.p01	0	0
EF540343.1.gene1.p01	0	0
EF540343.1.gene2.p01	0	0
EF540343.1.gene3.p01	0	0
EF552405.1.gene1.p01	0	0
EF561644.1.gene1.p01	0	0
EF581285.1.gene1.p01	0	0
EF581888.1.gene1.p01	0	0
EF614235.1.gene3.p01	0	0
EF622224.1.gene1.p01	0	0
EF650032.1.gene1.p01	0	0
EF650033.1.gene1.p01	0	0
EF650034.1.gene1.p01	0	0
EF650035.1.gene1.p01	0	0
EF650036.1.gene1.p01	0	0
EF650037.1.gene1.p01	0	0
EF650038.1.gene1.p01	0	0
EF653400.1.gene1.p01	0	0
EF672680.1.gene1.p01	0	0
EF685371.2.gene1.p1	0	0
EF685372.2.gene1.p1	0	0
EU019534.1.gene1.p01	0	0
EU019535.1.gene1.p01	0	0
EU019536.1.gene1.p01	0	0
EU024485.1.gene1.p01	0	0
EU029998.1.gene2.p01	0	0
EU032604.1.gene1.p01	0	0
EU085533.1.gene1.p01	0	0
EU086830.1.gene1.p01	0	0
EU086834.1.gene1.p01	0	0
EU136031.3.gene1.p3	0	0
EU155018.1.gene1.p01	0	0
EU177100.1.gene1.p01	0	0
EU177504.2.orf0.gene.p01	0	0
EU188842.1.gene1.p1	0	0
EU202673.2.gene1.p2	0	0
EU220744.1.gene1.p01	0	0
EU220745.1.gene1.p01	0	0
EU250284.1.gene5.p01	0	0
EU250284.1.gene6.p01	0	0
EU269034.2.gene4.p01	0	0
EU274580.1.gene1.p1	0	0
EU274581.1.gene1.p1	0	0
EU342351.1.gene1.p01	0	0
EU375515.1.gene1.p1	0	0
EU402393.1.gene1.p1	0	0
EU408346.1.gene6.p01	0	0
EU408347.1.gene6.p01	0	0
EU408347.1.gene9.p01	0	0
EU408348.1.gene1.p01	0	0
EU408349.1.gene1.p01	0	0.014555685662243
EU408349.1.gene24.p01	0	0
EU408350.1.gene12.p01	0	0
EU408351.1.gene26.p01	0	0
EU408352.1.gene1.p01	0	0
EU408352.1.gene27.p01	0	0
EU408352.1.gene3.p01	0	0
EU408354.1.gene5.p01	0	0
EU408358.1.gene24.p01	0	0
EU408359.1.gene3.p01	0	0
EU418913.1.gene1.p01	0	0
EU419745.1.gene1.p01	0	0
EU419746.1.gene1.p01	0	0
EU477409.1.gene1.p1	0	0
EU496815.1.gene1.p1	0	0
EU496816.1.gene1.p1	0	0
EU515248.1.gene1.p01	0	0
EU515249.1.gene1.p01	0	0
EU515250.1.gene1.p01	0	0
EU515251.1.gene1.p01	0	0
EU523697.1.gene2.p01	0	0
EU541448.1.gene1.p01	0	0
EU545409.1.gene1.p1	0	0
EU547445.1.gene1.p1	0	0
EU547446.1.gene1.p1	0	0
EU547447.1.gene1.p1	0	0
EU555534.1.gene1.p01	0	0
EU586041.1.gene1.p01	0	0
EU675686.2.gene5.p01	0	0
EU675686.2.gene7.p01	0	0
EU729727.1.gene1.p1	0	0
EU748544.1.gene1.p1	0	0
EU815939.1.gene1.p1	0	0
EU886977.1.gene2.p01	0	0
FJ194494.1.gene1.p01	0	0
FJ194944.1.gene1.p01	0	0
FJ197316.1.gene1.p1	0	0
FJ214366.1.gene1.p1	0	0
FJ214367.1.gene1.p1	0	0
FJ214368.1.gene1.p1	0	0
FJ214369.1.gene1.p1	0	0
FJ234412.1.gene1.p01	0	0
FJ237366.1.gene1.p1	0	0
FJ237367.1.gene1.p1	0	0
FJ237368.1.gene1.p1	0	0
FJ237369.1.gene1.p1	0	0
FJ262599.1.gene1.p1	0	0
FJ349556.1.gene2.p01	0	0
FJ349556.1.gene3.p01	0	0
FJ349556.1.gene4.p01	0	0
FJ349556.1.gene5.p01	0	0
FJ349556.1.gene6.p01	0	0
FJ349556.1.gene7.p01	0	0
FJ360626.1.gene1.p01	0	0
FJ360884.1.gene1.p01	0	0
FJ381668.1.gene1.p01	0	0
FJ405211.1.gene1.p01	0	0
FJ437066.1.gene1.p1	0	0
FJ460181.2.gene2.p01	0	0.0211404006046863
FJ460181.2.gene3.p01	0	0
FJ503047.1.gene1.p01	0	0
FJ534512.1.gene1.p01	0	0
FJ534513.1.gene1.p01	0	0
FJ617207.1.gene1.p01	0	0
FJ627180.1.gene1.p01	0	0
FJ666063.1.gene1.p1	0	0
FJ666064.1.gene1.p1	0	0
FJ666065.1.gene1.p1	0	0
FJ666066.1.gene1.p1	0	0
FJ666067.1.gene1.p1	0	0
FJ666068.1.gene1.p1	0	0
FJ666069.1.gene1.p1	0	0
FJ666070.1.gene1.p1	0	0
FJ666071.1.gene1.p1	0	0
FJ666072.1.gene1.p1	0	0
